%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1713690045568361893,11306,1713690045135358515,uav31/gps_garmin_origin,uav31/fcu,-38.05055120970199,4.649083362441484,0.06753840611025927,-0.012221295336379086,0.045246064389801784,0.44821839274476893,0.892694632283665,0.003519391448061334,0.0,0.0,0.0,0.0,0.0,0.0,0.003519391448068926,0.0,0.0,0.0,0.0,0.0,0.0,0.04210282619560554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011511445531360806,0.001799866582217847,-0.006787038267199939,-0.0015099502634257078,0.002899361541494727,-0.0008109980844892565,0.4575654887467934,0.0,0.0,0.0,0.0,0.0,0.0,0.45756548876397446,0.0,0.0,0.0,0.0,0.0,0.0,0.01651784671753445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045619745701,11316,1713690045235417838,uav31/gps_garmin_origin,uav31/fcu,-38.05046878076661,4.648884339365323,0.06754191150663057,-0.01219063384426456,0.045287785765414736,0.448241978737103,0.8926810993058104,0.0035274489851459846,0.0,0.0,0.0,0.0,0.0,0.0,0.00352744898515213,0.0,0.0,0.0,0.0,0.0,0.0,0.03755007433844717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014795710644079567,0.0008112130869233427,-0.007284884156800094,-0.0017671374371275306,0.0036716009490191936,0.001003760145977139,0.45754171197104015,0.0,0.0,0.0,0.0,0.0,0.0,0.4575417119849391,0.0,0.0,0.0,0.0,0.0,0.0,0.01644205666689927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045626391143,11326,1713690045335352474,uav31/gps_garmin_origin,uav31/fcu,-38.05047285144958,4.647701634079734,0.0674848556972103,-0.01224271109409498,0.04531761352749017,0.4482832055061035,0.8926581621857157,0.0023967440663092924,0.0,0.0,0.0,0.0,0.0,0.0,0.002396744066309291,0.0,0.0,0.0,0.0,0.0,0.0,0.0420387017848161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060348120142691974,-0.001771515682469144,-0.008730576361486282,-0.004238144960254431,0.0014238804578781126,-0.001025210018269718,0.4413688883823822,0.0,0.0,0.0,0.0,0.0,0.0,0.4413688883931703,0.0,0.0,0.0,0.0,0.0,0.0,0.007287472542878005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045781965818,11337,1713690045445356456,uav31/gps_garmin_origin,uav31/fcu,-38.05074002201478,4.646128446403329,0.06747147425038681,-0.012222253005154235,0.04531650416539086,0.4482998678084436,0.8926501356907347,0.0034365406823963834,0.0,0.0,0.0,0.0,0.0,0.0,0.0034365406824016067,0.0,0.0,0.0,0.0,0.0,0.0,0.03768207166376713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010446774989542641,-0.003610659893588784,-0.01025723155122479,0.002836944768205285,-0.0035187960602343074,0.005884460173547268,0.45653832612658746,0.0,0.0,0.0,0.0,0.0,0.0,0.45653832613577816,0.0,0.0,0.0,0.0,0.0,0.0,0.016375856015303017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045919840956,11357,1713690045645354652,uav31/gps_garmin_origin,uav31/fcu,-38.05245730358258,4.643964686181044,0.0674504310181895,-0.012232909373946608,0.04527682875746705,0.44833040382999867,0.8926366631894816,0.002362420681669008,0.0,0.0,0.0,0.0,0.0,0.0,0.0023624206816690073,0.0,0.0,0.0,0.0,0.0,0.0,0.038350329334098314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015715074271196075,-0.0015564497925544122,-0.01088145692151976,0.0003671140584629029,0.0013599228113889696,0.000916037068236619,0.44091623293634397,0.0,0.0,0.0,0.0,0.0,0.0,0.44091623294156457,0.0,0.0,0.0,0.0,0.0,0.0,0.0072834768593790875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045958675154,11367,1713690045745354936,uav31/gps_garmin_origin,uav31/fcu,-38.052985841770635,4.641649899333871,0.06749802800315621,-0.012221358868351635,0.04523841589057077,0.44832060690083875,0.8926436961242925,0.003510543989506374,0.0,0.0,0.0,0.0,0.0,0.0,0.0035105439895083716,0.0,0.0,0.0,0.0,0.0,0.0,0.032157691671080166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01963127116483546,-0.004300670416381696,-0.011989603571572638,-0.0014338289620354772,-0.0019058869220316414,-0.004407112020999193,0.457450919335588,0.0,0.0,0.0,0.0,0.0,0.0,0.4574509193401615,0.0,0.0,0.0,0.0,0.0,0.0,0.016376092071411837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046003158985,11378,1713690045855354254,uav31/gps_garmin_origin,uav31/fcu,-38.053381329762466,4.639709460304104,0.06744995138856667,-0.012230802389674328,0.04526977048596898,0.4483428612223733,0.8926307997126095,0.003515261143015291,0.0,0.0,0.0,0.0,0.0,0.0,0.0035152611430166337,0.0,0.0,0.0,0.0,0.0,0.0,0.03773294284319746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02087112529885482,-0.005717995036128621,-0.011371491076714254,-0.0035090805031359196,0.00014818258932791623,-0.00216211611405015,0.4573667590195919,0.0,0.0,0.0,0.0,0.0,0.0,0.4573667590232162,0.0,0.0,0.0,0.0,0.0,0.0,0.016444501344444383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046070754434,11388,1713690045955357751,uav31/gps_garmin_origin,uav31/fcu,-38.05402447167914,4.637691049725315,0.06751724265524205,-0.01227899069162269,0.04525161164972772,0.44840705470168707,0.892598812809899,0.003747229188922916,0.0,0.0,0.0,0.0,0.0,0.0,0.0037472291889440153,0.0,0.0,0.0,0.0,0.0,0.0,0.032180663402528745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02262520751148182,-0.0063461432725082385,-0.011671107250374497,-0.0007426343508996069,-0.0004063365631736812,0.002325840760022402,0.46003842070459505,0.0,0.0,0.0,0.0,0.0,0.0,0.4600384207140311,0.0,0.0,0.0,0.0,0.0,0.0,0.017573718140314592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046166431378,11399,1713690046065355214,uav31/gps_garmin_origin,uav31/fcu,-38.05448541799625,4.635722046799526,0.06741548941721726,-0.012253415552250882,0.04523051487076661,0.4484648065166654,0.8925712207244814,0.0035041671678786588,0.0,0.0,0.0,0.0,0.0,0.0,0.0035041671678805427,0.0,0.0,0.0,0.0,0.0,0.0,0.03835111206952749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02274064949709699,-0.007022221485536903,-0.012772014556707052,-0.0010667103342711926,0.0018060100264847279,0.0002502801071386782,0.45735344491440216,0.0,0.0,0.0,0.0,0.0,0.0,0.45735344491633934,0.0,0.0,0.0,0.0,0.0,0.0,0.01644165679370909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046183678613,11409,1713690046165354155,uav31/gps_garmin_origin,uav31/fcu,-38.055373607460524,4.633544020637107,0.06743777749519513,-0.012260465883727282,0.04523120880609087,0.4484982972315008,0.8925542599851324,0.0035331284185967653,0.0,0.0,0.0,0.0,0.0,0.0,0.0035331284185974774,0.0,0.0,0.0,0.0,0.0,0.0,0.037112304144408206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024557888929679896,-0.006920804435322024,-0.01254718709342594,-0.0005599018768407404,0.001461719628423452,-0.0031733247451484203,0.45756716557654736,0.0,0.0,0.0,0.0,0.0,0.0,0.45756716557796784,0.0,0.0,0.0,0.0,0.0,0.0,0.016441552254721905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
