%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1713690045563262650,11244,1713690045093370179,uav8/gps_garmin_origin,uav8/fcu,-39.543170040494026,17.149125611097823,0.1354124641147618,-0.0016506340820622131,-0.01460076425670376,-0.931780048782599,-0.36272583831448296,0.002300551326276311,0.0,0.0,0.0,0.0,0.0,0.0,0.002300551326276311,0.0,0.0,0.0,0.0,0.0,0.0,0.030711890959247083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01676074199515976,0.04307734602881535,-0.026012246387678187,0.0003960911126341671,-0.00023860602232161945,-0.0029732261318713427,0.4404004735439862,0.0,0.0,0.0,0.0,0.0,0.0,0.4404004735445263,0.0,0.0,0.0,0.0,0.0,0.0,0.006217673603513526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045568352332,11255,1713690045203398176,uav8/gps_garmin_origin,uav8/fcu,-39.54930774640205,17.143310125649837,0.11857209231807517,-0.0016494666891103018,-0.014597624728460623,-0.9318318569732722,-0.3625928556131123,0.0039998560944538245,0.0,0.0,0.0,0.0,0.0,0.0,0.003999856094438445,0.0,0.0,0.0,0.0,0.0,0.0,0.03711790197005682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013247908369848018,0.055233161752165576,-0.028191129021937943,0.003571220673620701,-0.0009035902330651875,0.003716402454301715,0.4621866466337818,0.0,0.0,0.0,0.0,0.0,0.0,0.4621866466303013,0.0,0.0,0.0,0.0,0.0,0.0,0.016673489693473632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045619157324,11266,1713690045313373109,uav8/gps_garmin_origin,uav8/fcu,-39.557206678210925,17.135740392543674,0.13299854624514404,-0.0016561079814577519,-0.01458309298827782,-0.9318780347771316,-0.3624747149873493,0.002184094286069606,0.0,0.0,0.0,0.0,0.0,0.0,0.0021840942860696065,0.0,0.0,0.0,0.0,0.0,0.0,0.03840758667444798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011130149316968036,0.07090658134589385,-0.03097827134521282,-0.0008343611261807382,0.004210127051919699,-0.00010816815483849547,0.4389503722672395,0.0,0.0,0.0,0.0,0.0,0.0,0.43895037226325584,0.0,0.0,0.0,0.0,0.0,0.0,0.006225125409217422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045681744813,11274,1713690045393387451,uav8/gps_garmin_origin,uav8/fcu,-39.56286114818986,17.129974436469276,0.11869788026752418,-0.0016796015986169414,-0.01460515652705089,-0.931920240075093,-0.36236519490656316,0.003443311626600183,0.0,0.0,0.0,0.0,0.0,0.0,0.0034433116265985757,0.0,0.0,0.0,0.0,0.0,0.0,0.03751819197969916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009171087816006682,0.08028977233314592,-0.03244205316408884,0.003044022945687175,-0.0010684520239010455,-0.002460307441651821,0.4565819391892845,0.0,0.0,0.0,0.0,0.0,0.0,0.4565819391893276,0.0,0.0,0.0,0.0,0.0,0.0,0.01637653695270794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045887097722,11288,1713690045533423181,uav8/gps_garmin_origin,uav8/fcu,-39.57243471632058,17.12100427129436,0.129239057286289,-0.0016431486924620184,-0.014580579964276091,-0.9320074964118377,-0.36214186913752217,0.0034541331217389564,0.0,0.0,0.0,0.0,0.0,0.0,0.003454133121741686,0.0,0.0,0.0,0.0,0.0,0.0,0.029710260635107323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00867113546656789,0.08911417126473548,-0.033034932505675164,-0.00047817520680837333,0.004241294693201781,0.00382647686637938,0.456962235664712,0.0,0.0,0.0,0.0,0.0,0.0,0.45696223566479854,0.0,0.0,0.0,0.0,0.0,0.0,0.016414837027870617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045919723502,11300,1713690045653472073,uav8/gps_garmin_origin,uav8/fcu,-39.58148659772431,17.114590244278794,0.11797029357904311,-0.0016558251513632588,-0.014565920940739805,-0.9320887671031615,-0.36193317398426544,0.003499539498258877,0.0,0.0,0.0,0.0,0.0,0.0,0.003499539498264736,0.0,0.0,0.0,0.0,0.0,0.0,0.0298736135522892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013092083208755769,0.09269225263248934,-0.03163177273605683,-0.0008102167630568147,0.002636215183883906,0.0032030798029154535,0.4573059921651997,0.0,0.0,0.0,0.0,0.0,0.0,0.45730599216553597,0.0,0.0,0.0,0.0,0.0,0.0,0.016442422986406278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690045958714866,11312,1713690045773633514,uav8/gps_garmin_origin,uav8/fcu,-39.58862218701226,17.110650963110924,0.11735500199021508,-0.0016488230393690135,-0.014603881992668643,-0.9321714186308165,-0.361718750275874,0.002685215855866443,0.0,0.0,0.0,0.0,0.0,0.0,0.002685215855866443,0.0,0.0,0.0,0.0,0.0,0.0,0.03720939043918026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017011534290559703,0.0851499615811871,-0.03039146356761375,0.0012785845901817083,0.00028545569512061824,0.004032527562230825,0.4449933916000789,0.0,0.0,0.0,0.0,0.0,0.0,0.4449933915993303,0.0,0.0,0.0,0.0,0.0,0.0,0.01647708110289701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046003208132,11324,1713690045893456592,uav8/gps_garmin_origin,uav8/fcu,-39.593651072436764,17.109507704479334,0.12391776193076379,-0.0016434678068070869,-0.014611266956560202,-0.9322027279713474,-0.36163777990452,0.002353712779947284,0.0,0.0,0.0,0.0,0.0,0.0,0.0023537127799472847,0.0,0.0,0.0,0.0,0.0,0.0,0.03769593444826411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021292604667817,0.07149086749362629,-0.02996691481229729,0.0018178207101300359,0.002177219605073333,-0.00023974204668775228,0.44121896639216196,0.0,0.0,0.0,0.0,0.0,0.0,0.4412189663982516,0.0,0.0,0.0,0.0,0.0,0.0,0.01641623052983702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046070933403,11335,1713690046003413576,uav8/gps_garmin_origin,uav8/fcu,-39.59805012484758,17.109127666722014,0.12363471819245317,-0.001632252077974523,-0.014582477848699052,-0.9322048494717273,-0.3616335240465691,0.003494337267558767,0.0,0.0,0.0,0.0,0.0,0.0,0.0034943372675603195,0.0,0.0,0.0,0.0,0.0,0.0,0.028877436277910805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02429460359436019,0.05824461286080744,-0.02972049079023581,-0.0015321685932576656,0.0032868217676877975,0.001060605980455875,0.45723441103323104,0.0,0.0,0.0,0.0,0.0,0.0,0.4572344110326881,0.0,0.0,0.0,0.0,0.0,0.0,0.01625199969433719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713690046165627089,11348,1713690046133532471,uav8/gps_garmin_origin,uav8/fcu,-39.60096442505761,17.10983089894713,0.15320359136585207,-0.0016176296157918708,-0.014564639097368529,-0.9321826837677494,-0.3616914412119061,0.0020941864253837196,0.0,0.0,0.0,0.0,0.0,0.0,0.002094186425383719,0.0,0.0,0.0,0.0,0.0,0.0,0.027606238792733332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02346015381657242,0.040058996695599584,-0.02936679388317935,-0.008596191182732582,0.002395454561337828,-0.002864794107154012,0.43757053750480873,0.0,0.0,0.0,0.0,0.0,0.0,0.4375705375141832,0.0,0.0,0.0,0.0,0.0,0.0,0.016139462819216334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
